2025-12-22 23:45:08,339 | INFO     | scrapping.scrapping | Starting scrapping at 2025-12-22 23:45:08
2025-12-22 23:45:09,029 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=1
2025-12-22 23:45:24,934 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=2
2025-12-22 23:45:41,546 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=3
2025-12-22 23:45:57,369 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=4
2025-12-22 23:46:13,844 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=5
2025-12-22 23:46:30,030 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=6
2025-12-22 23:46:45,480 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=7
2025-12-22 23:46:59,802 | INFO     | scrapping.scrapping | Finished scrapping at 2025-12-22 23:46:59
2025-12-23 23:13:48,960 | INFO     | scrapping.scrapping | Starting scrapping at 2025-12-23 23:13:48
2025-12-23 23:13:49,843 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=1
2025-12-23 23:14:09,654 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=2
2025-12-23 23:14:26,811 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=3
2025-12-23 23:14:43,858 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=4
2025-12-23 23:14:59,638 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=5
2025-12-23 23:15:15,853 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=6
2025-12-23 23:15:31,365 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=7
2025-12-23 23:15:40,552 | INFO     | scrapping.scrapping | Finished scrapping at 2025-12-23 23:15:40
2025-12-23 23:18:19,891 | INFO     | scrapping.scrapping | Starting scrapping at 2025-12-23 23:18:19
2025-12-23 23:18:20,591 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=1
2025-12-23 23:18:47,330 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=2
2025-12-23 23:19:05,726 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=3
2025-12-23 23:19:28,353 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=4
2025-12-23 23:19:50,592 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=5
2025-12-23 23:20:10,294 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=6
2025-12-23 23:20:27,003 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=7
2025-12-23 23:20:37,232 | INFO     | scrapping.scrapping | Finished scrapping at 2025-12-23 23:20:37
2025-12-23 23:31:03,022 | INFO     | scrapping.scrapping | Starting scrapping at 2025-12-23 23:31:03
2025-12-23 23:31:03,678 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=1
2025-12-23 23:31:20,793 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=2
2025-12-23 23:31:36,732 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=3
2025-12-23 23:31:53,132 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=4
2025-12-23 23:32:09,625 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=5
2025-12-23 23:32:26,592 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=6
2025-12-23 23:32:43,240 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=7
2025-12-23 23:32:52,375 | INFO     | scrapping.scrapping | Finished scrapping at 2025-12-23 23:32:52
2026-01-02 21:39:22,528 | INFO     | scrapping.scrapping | Starting scrapping at 2026-01-02 21:39:22
2026-01-02 21:39:23,721 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=1
2026-01-02 21:39:40,870 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=2
2026-01-02 21:40:01,039 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=3
2026-01-02 21:40:17,332 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=4
2026-01-02 21:40:33,876 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=5
2026-01-02 21:40:50,989 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=6
2026-01-02 21:41:08,905 | INFO     | scrapping.scrapping | Scraping url https://licytacje.komornik.pl/Notice/Filter/24?page=7
2026-01-02 21:41:23,775 | INFO     | scrapping.scrapping | Finished scrapping at 2026-01-02 21:41:23
2026-01-02 21:41:24,705 | INFO     | db_connectors.mongo_db_connector | Connected to db db1 at 2026-01-02 21:41:24
2026-01-02 21:41:25,332 | INFO     | db_connectors.mongo_db_connector | Truncated db1 at 2026-01-02 21:41:25
2026-01-02 21:41:25,547 | INFO     | db_connectors.mongo_db_connector | Connected to db db1 at 2026-01-02 21:41:25
2026-01-02 21:41:26,042 | INFO     | db_connectors.mongo_db_connector | Inserted to db db1 at 2026-01-02 21:41:26
