auction_date,auction_city,auction_region,auction_item,starting_price,target_price,item_ts
16.12.2025,Złotoryja,dolnośląskie,Samochody osobowe,525.0,700.0,2025-12-22 22:04:24
16.12.2025,Gdańsk,pomorskie,Jeep Wrangler TJ 2000 4.0 benz+LPG manual  G9M2 1J4FAN9S2YP735522,75000.0,100000.0,2025-12-22 22:04:24
17.12.2025,Konstantynów Łódzki,łódzkie,Samochody osobowe,9000.0,12000.0,2025-12-22 22:04:25
22.12.2025,Zgierz,łódzkie,"TOYOTA AVENSIS, nr rej. EZG 21698, 2005, SB1EB56L50E018175 dpr. 20-10-2005",4500.0,6000.0,2025-12-22 22:04:26
22.12.2025,Grodzisk Wielkopolski,wielkopolskie,"MAZDA 6, nr rej. PGO47155 VIN JMZGY198251198739 rok produkcji 2005 data nast. bad. 29.01.2023 00:00:00",1000.0,2000.0,2025-12-22 22:04:27
22.12.2025,Wolbrom,małopolskie,"BMW X1 M pakiet, nr rej. KOLWR24, r.prod. 2015r.",23800.0,47600.0,2025-12-22 22:04:28
22.12.2025,Mysłowice,śląskie,"Samochód osobowy Renault Megane, rok prod. 2002, 1.9 DCI, VF1BM0G0627630136, nr rej. KTA2844H, data pierwszej rejestracji: 2009-12-04, Brak kluczyków pojazdu",900.0,1800.0,2025-12-22 22:04:29
22.12.2025,Wrocław,dolnośląskie,Samochody osobowe,25500.0,34000.0,2025-12-22 22:04:30
22.12.2025,Różyca,łódzkie,"FIAT FREEMONT 2.0 MJ rok.2012, przebieg 200337km, diesel,kolor czarny,udział 1/2",7875.0,15750.0,2025-12-22 22:04:31
22.12.2025,Grodzisk Wielkopolski,wielkopolskie,"Samochód osobowy HYUNDAI IX35, Rok prod: 2012, Rej: PGO10736, VIN: TMAJU81AADJ359641",22500.0,30000.0,2025-12-22 22:04:32
22.12.2025,Lubsko,lubuskie,karoseria pojazdu KIA PRO CEED VIN: U5YH6G17GNL059601,300.0,400.0,2025-12-22 22:04:32
22.12.2025,Grodzisko,opolskie,"Samochód osobowy BMW 118D    Rok produkcji: 2006 Rejestracja: OST41U4 Silnik: poj: 1995 cm3, moc: 90 KM, rodz. paliwa: OLEJ NAPĘDOWY VIN: WBAUG31090PU74787",14625.0,19500.0,2025-12-22 22:04:33
23.12.2025,Krosno,podkarpackie,"RENAULT MEGANE SCENIC, RKR47120, VIN: VF1JM0J0H30241034, Data pierwszej rejestracji 2004-03-26",1875.0,2500.0,2025-12-22 22:04:34
23.12.2025,Jedlicze,podkarpackie,"PEUGEOT BOXER, RKR17609, VIN: VF3232V4215747960, Data pierwszej rejestracji 1999-07-08",6000.0,8000.0,2025-12-22 22:04:34
23.12.2025,Jedlicze,podkarpackie,"KIA PICANTO, RKR29543, VIN: KNABA24429T709728, Data pierwszej rejestracji 2009-05-07",6000.0,8000.0,2025-12-22 22:04:34
23.12.2025,Ruda Śląska,śląskie,"OPEL ZAFIRA, 2007r. VIN: W0L0AHM757G103855",2250.0,3000.0,2025-12-22 22:04:35
29.12.2025,Poznań,wielkopolskie,"OPEL ZAFIRA ,nr rej. PY11991, VIN W0LPE9EM5C2041571, rok produkcji 2012, data I rejestracji 23-01-2012",18675.0,24900.0,2025-12-22 22:04:36
29.12.2025,Poznań,wielkopolskie,"OPEL VIVARO ,nr rej. PY30876, VIN W0LJ7CCA64V638450, rok produkcji 2004,data I rejestracji 9-06-2004",11250.0,15000.0,2025-12-22 22:04:36
29.12.2025,Dobre,kujawsko-pomorskie,"MERCEDES-BENZ CLS 550    nr rej. CRANN71, VIN WDDLJ9BB8EA120780, rok produkcji 2014, coupe 4 drzwiowy, moc silnika 408KM, automatyczna skrzynia biegów, kolor czarny.",43350.0,57800.0,2025-12-22 22:04:37
30.12.2025,Nowy Adamów,łódzkie,"MERCEDES-BENZ S 350 CDI, nr. rej. EZG35628, VIN: WDD2211221A294937, rok prod. 2009",26025.0,34700.0,2025-12-22 22:04:37
30.12.2025,TARNÓW,małopolskie,PEUGEOT 407,3500.0,7000.0,2025-12-22 22:04:40
30.12.2025,Kutno,łódzkie,"CITROEN XSARA PICASSO 1,6 I r.prod. 2005",1125.0,1500.0,2025-12-22 22:04:41
30.12.2025,Kowalewo Pomorskie,kujawsko-pomorskie,FORD TRANSIT,9750.0,13000.0,2025-12-22 22:04:42
30.12.2025,Kowalewo Pomorskie,kujawsko-pomorskie,SKODA FABIA 2013 r.,7500.0,10000.0,2025-12-22 22:04:42
30.12.2025,Elzanowo,kujawsko-pomorskie,FIAT PANDA VAN,2250.0,3000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,"RENAULT KANGOO, 2005",3000.0,4000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,"VOLKSWAGEN LT, 1989",9750.0,13000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,"VOLKSWAGEN LT, 1995",9750.0,13000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,"FORD CIĘŻAROWY 7000, 1989",8250.0,11000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,"PRZYCZEPA LAWETA BRENDERUP, 2005",3750.0,5000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,"AUTOMAT SPAWALNICZY MIGATRONIC, 2020",18000.0,24000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,"GIĘTKARKA DO RUR WRP65, 2022",17250.0,23000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,"WIERTARKO-FREZARKA STOŁOWA, 2022",9000.0,12000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,"REGAŁ WSPORNIKOWY, 2021",5250.0,7000.0,2025-12-22 22:04:43
